Name,Symbol,Price (USD),24h Change (%),7d Change (%),Market Cap,24h Volume,Timestamp
USDC,USDC,0.999904,0.00116,0.0053585989629884,61891777140,5981402628,2025-07-10 02:17:35
TRON,TRX,0.289824,0.83906,1.965265316679963,27468692763,458597501,2025-07-10 02:17:35
Dogecoin,DOGE,0.181877,6.28712,6.419856733489637,27280615472,1808985000,2025-07-10 02:17:35
Lido Staked Ether,STETH,2772.58,6.07834,6.841843389744423,25316875804,41044607,2025-07-10 02:17:35
Bitcoin,BTC,111411.0,2.23859,2.0504867997590632,2215718025949,36350163667,2025-07-10 02:18:36
Ethereum,ETH,2775.86,6.13825,6.915744404229934,335222204087,26229514344,2025-07-10 02:18:36
Tether,USDT,1.0,0.00899,-0.0124116127094806,158703397033,67461993813,2025-07-10 02:18:36
XRP,XRP,2.41,4.51869,7.348005440527141,142617441051,4183212773,2025-07-10 02:18:36
BNB,BNB,669.93,1.42646,1.1545503287107994,97717925818,854011868,2025-07-10 02:18:36
Solana,SOL,157.61,3.94809,2.5877158206012814,84427320355,4309335604,2025-07-10 02:18:36
USDC,USDC,0.999904,0.00116,0.0053612321765153,61891816715,5960790817,2025-07-10 02:18:36
TRON,TRX,0.289815,0.83604,1.9622094319118009,27468692763,460715673,2025-07-10 02:18:36
Dogecoin,DOGE,0.181906,6.30429,6.437043158416262,27280615472,1808219052,2025-07-10 02:18:36
Lido Staked Ether,STETH,2772.65,6.08077,6.844286950545873,25316875804,39577776,2025-07-10 02:18:36
Bitcoin,BTC,111422.0,2.24805,2.0599264486531417,2215975278309,36424532077,2025-07-10 02:19:37
Ethereum,ETH,2776.21,6.15168,6.929269364804469,335092387252,25900736146,2025-07-10 02:19:37
Tether,USDT,1.0,0.00932,-0.0120830368580878,158702066841,67479172118,2025-07-10 02:19:37
XRP,XRP,2.41,4.52059,7.349958098690417,142607705559,4186769192,2025-07-10 02:19:37
BNB,BNB,669.95,1.42973,1.1578078696679974,97717925818,854149639,2025-07-10 02:19:37
Solana,SOL,157.61,3.94608,2.585726425816365,84427320355,4305493194,2025-07-10 02:19:37
USDC,USDC,0.999904,0.00114,0.0053371114991883,61891816715,6044611049,2025-07-10 02:19:37
TRON,TRX,0.289811,0.83454,1.9606942327966024,27468692763,460520484,2025-07-10 02:19:37
Dogecoin,DOGE,0.181927,6.31645,6.449226755672695,27275498818,1809225035,2025-07-10 02:19:37
Lido Staked Ether,STETH,2773.42,6.11053,6.874262459576358,25306040387,39583329,2025-07-10 02:19:37
Bitcoin,BTC,111431.0,2.25653,2.068387898493419,2215975278309,36434365276,2025-07-10 02:20:37
Ethereum,ETH,2776.38,6.15795,6.935593558199477,335092387252,26233093981,2025-07-10 02:20:37
Tether,USDT,1.0,0.00926,-0.0121406999336453,158702066841,67490143318,2025-07-10 02:20:37
XRP,XRP,2.41,4.52151,7.350899662838891,142607705559,4187657271,2025-07-10 02:20:37
BNB,BNB,669.97,1.43288,1.160947335290332,97717925818,853054819,2025-07-10 02:20:37
Solana,SOL,157.59,3.93565,2.575437241516518,84427320355,4307127710,2025-07-10 02:20:37
USDC,USDC,0.999903,0.00109,0.0052905485399042,61891816715,6066336581,2025-07-10 02:20:37
TRON,TRX,0.289803,0.83196,1.9580862056547688,27468692763,460510685,2025-07-10 02:20:37
Dogecoin,DOGE,0.181968,6.34046,6.4732632746125205,27275498818,1812106100,2025-07-10 02:20:37
Lido Staked Ether,STETH,2774.76,6.16164,6.925733550498882,25306040387,40004194,2025-07-10 02:20:37
Bitcoin,BTC,111431.0,2.25653,2.068387898493419,2215975278309,36434365276,2025-07-10 02:21:38
Ethereum,ETH,2776.38,6.15795,6.935593558199477,335092387252,26233093981,2025-07-10 02:21:38
Tether,USDT,1.0,0.00926,-0.0121406999336453,158702066841,67490143318,2025-07-10 02:21:38
XRP,XRP,2.41,4.52151,7.350899662838891,142607705559,4187657271,2025-07-10 02:21:38
BNB,BNB,669.97,1.43288,1.160947335290332,97717925818,853054819,2025-07-10 02:21:38
Solana,SOL,157.59,3.93565,2.575437241516518,84427320355,4307127710,2025-07-10 02:21:38
USDC,USDC,0.999903,0.00109,0.0052905485399042,61891816715,6066336581,2025-07-10 02:21:38
TRON,TRX,0.289803,0.83196,1.9580862056547688,27468692763,460510685,2025-07-10 02:21:38
Dogecoin,DOGE,0.181968,6.34046,6.4732632746125205,27275498818,1812106100,2025-07-10 02:21:38
Lido Staked Ether,STETH,2774.76,6.16164,6.925733550498882,25306040387,40004194,2025-07-10 02:21:38
Bitcoin,BTC,111453.0,2.29,2.08880384623582,2215975278309,36405700008,2025-07-10 02:22:39
Ethereum,ETH,2777.36,6.2266,6.973476522136608,335092387252,26285762143,2025-07-10 02:22:39
Tether,USDT,1.0,0.00977,-0.0120282288181078,158702066841,67529567150,2025-07-10 02:22:39
XRP,XRP,2.41,4.57251,7.346472641276411,142607705559,4183745279,2025-07-10 02:22:39
BNB,BNB,670.05,1.45401,1.173282589091536,97740168893,852991295,2025-07-10 02:22:39
Solana,SOL,157.59,3.94728,2.571536112430998,84427320355,4305776729,2025-07-10 02:22:39
USDC,USDC,0.999903,0.00433,0.0052759195788084,61891816715,6078120614,2025-07-10 02:22:39
TRON,TRX,0.289791,0.82482,1.9535762701551065,27465060087,459332476,2025-07-10 02:22:39
Dogecoin,DOGE,0.182027,6.44416,6.507803760843461,27275498818,1816312719,2025-07-10 02:22:39
Lido Staked Ether,STETH,2775.78,6.26073,6.96521499201887,25306040387,39619374,2025-07-10 02:22:39
Bitcoin,BTC,111462.0,2.2978,2.096587770559864,2215975278309,36420272783,2025-07-10 02:23:40
Ethereum,ETH,2777.69,6.2393,6.986268841570807,335092387252,26194106191,2025-07-10 02:23:40
Tether,USDT,1.0,0.01016,-0.0116380130273472,158702066841,67549056404,2025-07-10 02:23:40
XRP,XRP,2.41,4.59426,7.368801701185136,142607705559,4408195366,2025-07-10 02:23:40
BNB,BNB,670.06,1.45607,1.1753339497506656,97740168893,854743826,2025-07-10 02:23:40
Solana,SOL,157.59,3.94896,2.573185743706975,84427320355,4306004518,2025-07-10 02:23:40
USDC,USDC,0.999903,0.00429,0.0052329903453926,61891765237,6134066923,2025-07-10 02:23:40
TRON,TRX,0.289793,0.82578,1.9545480059747744,27465060087,458352265,2025-07-10 02:23:40
Dogecoin,DOGE,0.182029,6.44511,6.508754644808184,27275498818,1813929939,2025-07-10 02:23:40
Lido Staked Ether,STETH,2775.89,6.26469,6.969205831346602,25306040387,39994665,2025-07-10 02:23:40
Bitcoin,BTC,111472.0,2.30742,2.106184010932099,2216976337832,36442003085,2025-07-10 02:24:41
Ethereum,ETH,2778.14,6.25656,7.003650016891193,335313423005,25991246735,2025-07-10 02:24:41
Tether,USDT,1.0,0.01038,-0.011427175285784,158703294712,67567895221,2025-07-10 02:24:41
XRP,XRP,2.41,4.59349,7.368013249523976,142635332593,4408408708,2025-07-10 02:24:41
BNB,BNB,670.06,1.4553,1.1745665845178537,97740168893,854856709,2025-07-10 02:24:41
Solana,SOL,157.59,3.95137,2.575566960466488,84423608999,4304422788,2025-07-10 02:24:41
USDC,USDC,0.999902,0.00419,0.0051322726913839,61891765237,6310765507,2025-07-10 02:24:41
TRON,TRX,0.289822,0.83588,1.964758749624732,27465060087,458482630,2025-07-10 02:24:41
Dogecoin,DOGE,0.182044,6.45401,6.517651821674061,27293875564,1814572793,2025-07-10 02:24:41
Lido Staked Ether,STETH,2776.57,6.29076,6.995444806009772,25335357773,40032241,2025-07-10 02:24:41
Bitcoin,BTC,111472.0,2.30742,2.106184010932099,2216976337832,36442003085,2025-07-10 02:25:41
Ethereum,ETH,2778.14,6.25656,7.003650016891193,335313423005,25991246735,2025-07-10 02:25:41
Tether,USDT,1.0,0.01038,-0.011427175285784,158703294712,67567895221,2025-07-10 02:25:41
XRP,XRP,2.41,4.59349,7.368013249523976,142635332593,4408408708,2025-07-10 02:25:41
BNB,BNB,670.06,1.4553,1.1745665845178537,97740168893,854856709,2025-07-10 02:25:41
Solana,SOL,157.59,3.95137,2.575566960466488,84423608999,4304422788,2025-07-10 02:25:41
USDC,USDC,0.999902,0.00419,0.0051322726913839,61891765237,6310765507,2025-07-10 02:25:41
TRON,TRX,0.289822,0.83588,1.964758749624732,27465060087,458482630,2025-07-10 02:25:41
Dogecoin,DOGE,0.182044,6.45401,6.517651821674061,27293875564,1814572793,2025-07-10 02:25:41
Lido Staked Ether,STETH,2776.57,6.29076,6.995444806009772,25335357773,40032241,2025-07-10 02:25:41
Bitcoin,BTC,111491.0,2.32452,2.1232501126432166,2216976337832,36538112007,2025-07-10 02:26:42
Ethereum,ETH,2779.44,6.30601,7.053441314455385,335313423005,26042419646,2025-07-10 02:26:42
Tether,USDT,1.0,0.00962,-0.0115158156867095,158703294712,67638270063,2025-07-10 02:26:42
XRP,XRP,2.41,4.59252,7.367017698753192,142635332593,4408730880,2025-07-10 02:26:42
BNB,BNB,670.09,1.45963,1.1788831439641994,97756803021,854796739,2025-07-10 02:26:42
Solana,SOL,157.63,3.97855,2.6023889101109763,84423608999,5313438752,2025-07-10 02:26:42
USDC,USDC,0.999901,0.00068,0.0050796399548022,61891765237,6457169643,2025-07-10 02:26:42
TRON,TRX,0.289847,0.84431,1.973284004503873,27467979253,458708349,2025-07-10 02:26:42
Dogecoin,DOGE,0.18209,6.48078,6.544437541666957,27293875564,1815175407,2025-07-10 02:26:42
Lido Staked Ether,STETH,2778.16,6.35178,7.056876040934154,25335357773,40058538,2025-07-10 02:26:42
Bitcoin,BTC,111500.0,2.36955,2.1320877016524173,2216976337832,36564881285,2025-07-10 02:27:42
Ethereum,ETH,2779.52,6.39741,7.056564483643207,335313423005,26035937436,2025-07-10 02:27:42
Tether,USDT,1.0,0.00977,-0.0113706162196451,158703294712,67663997670,2025-07-10 02:27:42
XRP,XRP,2.41,4.65773,7.338445972423437,142635332593,4193724691,2025-07-10 02:27:42
BNB,BNB,670.07,1.48712,1.1757077148056718,97756803021,854791836,2025-07-10 02:27:42
Solana,SOL,157.63,3.97985,2.600377947332281,84423608999,5314769670,2025-07-10 02:27:42
USDC,USDC,0.999899,0.00047,0.0048628937091547,61891765237,7559305281,2025-07-10 02:27:42
TRON,TRX,0.289854,0.85524,1.975723213291373,27467979253,458725543,2025-07-10 02:27:42
Dogecoin,DOGE,0.182133,6.53326,6.569564517514935,27293875564,1817510478,2025-07-10 02:27:42
Lido Staked Ether,STETH,2778.03,6.46016,7.051718593176146,25335357773,40046887,2025-07-10 02:27:42
Bitcoin,BTC,111518.0,2.38594,2.1484420519184178,2216976337832,36567820948,2025-07-10 02:28:44
Ethereum,ETH,2780.36,6.42948,7.088836621546754,335313423005,26104120485,2025-07-10 02:28:44
Tether,USDT,1.0,0.00902,-0.0121203243315737,158703294712,67762481630,2025-07-10 02:28:44
XRP,XRP,2.41,4.69321,7.374831537822413,142635332593,4381512805,2025-07-10 02:28:44
BNB,BNB,670.08,1.48963,1.1782046781176931,97756803021,854711082,2025-07-10 02:28:44
Solana,SOL,157.61,3.9676,2.5882820086934144,84423608999,5311070618,2025-07-10 02:28:44
USDC,USDC,0.999899,0.00052,0.0049163195587353,61891506351,7372267647,2025-07-10 02:28:44
TRON,TRX,0.289866,0.85941,1.97994376851832,27467979253,459231206,2025-07-10 02:28:44
Dogecoin,DOGE,0.182092,6.50959,6.545883716146704,27293875564,1822082099,2025-07-10 02:28:44
Lido Staked Ether,STETH,2778.93,6.49468,7.086430559800528,25335357773,40074318,2025-07-10 02:28:44
Bitcoin,BTC,111507.0,2.37581,2.1383370722050703,2218102327615,36522830349,2025-07-10 02:29:45
Ethereum,ETH,2780.17,6.42238,7.081697594030395,335634888121,26339148973,2025-07-10 02:29:45
Tether,USDT,1.0,0.00856,-0.0125793342796376,158702529179,67801348100,2025-07-10 02:29:45
XRP,XRP,2.41,4.67158,7.352648828117568,142643343000,4381194557,2025-07-10 02:29:45
BNB,BNB,669.71,1.43275,1.1215012565319975,97756803021,854089638,2025-07-10 02:29:45
Solana,SOL,157.55,3.92867,2.549874599580108,84436034090,5321808509,2025-07-10 02:29:45
USDC,USDC,0.9999,0.00054,0.004932259094799,61891506351,7345082509,2025-07-10 02:29:45
TRON,TRX,0.289854,0.85536,1.975851162336541,27467979253,459537363,2025-07-10 02:29:45
Dogecoin,DOGE,0.182064,6.49327,6.529563062459682,27303390240,1822613089,2025-07-10 02:29:45
Lido Staked Ether,STETH,2778.88,6.49288,7.084624787602531,25363369085,40088866,2025-07-10 02:29:45
Bitcoin,BTC,111507.0,2.37581,2.1383370722050703,2218102327615,36522830349,2025-07-10 02:30:45
Ethereum,ETH,2780.17,6.42238,7.081697594030395,335634888121,26339148973,2025-07-10 02:30:45
Tether,USDT,1.0,0.00856,-0.0125793342796376,158702529179,67801348100,2025-07-10 02:30:45
XRP,XRP,2.41,4.67158,7.352648828117568,142643343000,4381194557,2025-07-10 02:30:45
BNB,BNB,669.71,1.43275,1.1215012565319975,97756803021,854089638,2025-07-10 02:30:45
Solana,SOL,157.55,3.92867,2.549874599580108,84436034090,5321808509,2025-07-10 02:30:45
